Country or Area,co2_mean,co2_max,co2_min,co2_std,methane_mean,methane_max,methane_min,methane_std,hfc_mean,hfc_max,hfc_min,hfc_std,total_ghg_mean,total_ghg_max,total_ghg_min,total_ghg_std
Australia,365067.73,416761.93,278154.16,47473.15,111425.59,125133.25,97303.74,7244.97,4879.17,11564.39,278.04,3879.05,501486.71,552484.02,425624.31,44529.64
Austria,68204.99,79097.4,60266.15,5012.12,8604.87,11318.85,6499.26,1500.73,1061.33,1945.85,2.04,631.69,82059.55,92588.58,73910.84,4783.87
Belarus,64750.76,108345.06,53844.14,13165.64,16672.67,20770.34,14881.4,1374.52,68.96,208.96,0.0,74.17,93875.97,145339.89,79125.28,15482.02
Belgium,115284.24,130223.5,91101.39,12593.57,10194.62,12899.99,7870.1,1793.07,2081.34,4206.09,0.0,1376.94,136032.97,157227.95,107272.65,15426.02
Bulgaria,50702.08,76637.99,36533.61,7534.05,8627.74,14631.81,6406.83,2040.59,315.22,889.01,0.0,319.48,63677.75,98910.34,47984.62,9735.9
Canada,542409.11,593755.25,450159.6,41344.99,104742.48,116412.19,83913.85,8958.19,5757.17,12153.5,0.0,4302.97,689971.69,748070.09,582031.22,47253.02
Croatia,19622.27,24859.72,16049.81,2573.89,4114.48,4821.38,3726.43,271.07,471.63,1699.28,0.0,538.55,26239.83,31720.87,22015.02,2759.29
Cyprus,7013.09,8715.73,4644.86,980.44,947.1,1097.4,776.45,71.5,146.35,353.49,0.0,110.61,8290.71,10025.4,5571.73,1101.48
Czechia,121703.12,164250.44,91697.36,15907.7,17524.03,26813.57,13098.13,3587.9,1750.44,3823.44,0.0,1381.14,146253.72,198775.27,113072.05,18495.37
Denmark,51777.59,76058.19,29965.92,12077.35,9203.88,9874.24,8471.84,494.8,556.1,971.98,0.0,295.89,67641.04,92928.69,44483.8,13068.87
Estonia,18337.43,36919.61,9238.88,5344.31,1353.12,2152.38,1132.25,238.37,122.08,225.99,0.0,77.55,20530.31,40276.36,11407.08,5626.01
European Union,3454235.61,3873588.21,2638542.76,328681.98,505318.37,648411.63,401658.56,74864.37,57742.75,95233.23,12434.41,28331.49,4252940.62,4860553.45,3300463.61,410411.45
Finland,55984.19,72654.32,37735.16,8960.08,6663.52,8611.47,4819.22,1294.72,813.76,1339.91,0.02,481.15,68213.06,85490.37,47756.28,10002.63
France,387611.53,428222.04,296194.91,35936.45,74100.31,80846.44,62196.31,6034.28,10420.35,17313.36,1546.51,5604.33,513061.71,566897.43,398297.03,46986.83
Germany,861895.69,1054740.64,647252.33,92931.19,80460.79,132605.6,45687.75,27739.69,6954.69,10694.28,38.69,3451.37,991542.83,1251224.78,730922.69,127455.1
Greece,90392.65,114545.69,55619.77,16307.85,12321.39,13279.72,10959.05,695.69,4069.49,5844.57,962.74,1410.69,112137.5,136748.14,75464.49,17044.25
Hungary,56335.29,73376.83,43669.62,7615.79,10637.22,13801.48,9206.95,1264.34,854.15,1884.83,0.0,732.04,72456.14,94985.02,58661.11,8736.88
Iceland,3086.84,3812.82,2103.61,514.62,727.56,781.56,632.4,37.24,82.45,199.64,0.31,69.93,4305.45,5307.8,3409.12,546.86
Ireland,40221.53,48156.2,32944.42,4855.75,16548.69,17937.32,14490.85,957.37,585.72,1184.31,0.5,429.96,63667.05,71814.45,55642.84,5043.18
Italy,426398.5,502346.6,303281.27,56618.63,53462.47,58214.1,46762.32,3707.05,8809.29,17252.85,372.0,6708.67,512778.28,594197.38,384969.88,59087.87
Japan,1219541.87,1315192.02,1039795.9,68159.92,34377.26,44542.03,27361.36,5775.99,26895.4,53561.04,12418.37,12230.55,1322531.76,1405350.42,1144932.5,65897.59
Latvia,8905.63,19662.72,6999.91,2997.14,2278.53,4061.21,1889.57,547.61,128.65,263.5,0.0,96.06,12512.69,26022.7,10167.78,3759.51
Liechtenstein,195.65,231.12,141.93,29.59,20.94,22.26,18.7,0.95,5.54,9.38,0.0,3.5,230.76,268.17,180.87,27.42
Lithuania,15571.65,37820.38,11843.03,5821.79,4528.88,7808.49,3301.1,1086.06,209.58,691.01,0.0,231.44,23505.09,50100.69,19493.65,7103.25
Luxembourg,10225.26,12434.93,7663.26,1412.28,664.16,680.12,638.84,11.28,36.38,61.92,0.0,18.89,11165.18,13353.28,8590.88,1401.51
Malta,2369.07,2960.83,1356.3,462.15,197.62,257.56,139.73,32.74,93.24,244.01,0.0,97.63,2718.9,3269.04,1846.96,398.01
Monaco,87.43,104.4,60.53,13.63,1.4,2.2,0.66,0.35,3.82,7.77,0.0,2.75,95.97,109.23,69.76,11.11
Netherlands (Kingdom of the),168727.12,182358.96,136684.62,10818.23,25258.75,36181.18,18715.26,5916.62,3107.43,9756.27,1056.58,2485.52,209888.62,241662.09,164367.79,19852.08
New Zealand,33263.86,37508.39,25502.51,3564.95,34176.7,36082.05,32376.53,1013.36,697.27,1483.22,0.0,545.26,75494.76,81773.36,64720.07,5038.84
Norway,41538.63,45354.06,32851.07,3513.25,6393.05,7222.45,5256.61,622.73,547.6,1068.11,0.05,356.05,52823.81,56272.87,46706.77,2414.11
Poland,335059.48,377285.41,302437.09,21791.7,52262.71,69949.23,42704.71,7309.32,3272.44,6501.19,0.0,2503.0,412521.41,474554.32,371312.43,27529.53
Portugal,55144.24,69634.62,39938.33,8231.57,11371.15,12478.98,10235.36,783.53,1318.08,3158.99,0.0,1157.51,71189.83,86489.22,56359.41,8754.25
Romania,101335.91,176506.9,74026.53,23176.07,36863.18,59043.13,25785.35,9388.52,668.52,1908.24,0.16,684.38,151222.78,257137.18,112036.04,34002.67
