Country or Area,Year,Value,Gas_Type
Australia,2020,400333.466600032,co2
Australia,2019,416761.9334163,co2
Australia,2018,416283.827446405,co2
Australia,2017,414358.311523772,co2
Australia,2016,411264.287715373,co2
Australia,2015,401793.062460524,co2
Australia,2014,393952.875612924,co2
Australia,2013,397887.458385894,co2
Australia,2012,406150.910037526,co2
Australia,2011,403828.772713988,co2
Australia,2010,405103.320460765,co2
Australia,2009,407065.014946937,co2
Australia,2008,404233.066582705,co2
Australia,2007,399624.802668437,co2
Australia,2006,392384.30217254,co2
Australia,2005,386153.53309002,co2
Australia,2004,382820.890129487,co2
Australia,2003,369279.512308546,co2
Australia,2002,361540.810196808,co2
Australia,2001,357132.367483772,co2
Australia,2000,349635.486902168,co2
Australia,1999,343488.632899242,co2
Australia,1998,334075.978110115,co2
Australia,1997,320282.629502979,co2
Australia,1996,311886.128959671,co2
Australia,1995,305002.995518983,co2
Australia,1994,293696.553098945,co2
Australia,1993,288870.536763404,co2
Australia,1992,284525.344620763,co2
Australia,1991,279528.510123286,co2
Australia,1990,278154.156295787,co2
Austria,2021,66018.6319228833,co2
Austria,2020,62121.2514097573,co2
Austria,2019,67956.1576260264,co2
Austria,2018,66571.8924005598,co2
Austria,2017,69608.6669155922,co2
Austria,2016,67226.5746816529,co2
Austria,2015,66365.6413301196,co2
Austria,2014,64175.9001158921,co2
Austria,2013,67776.0419289963,co2
Austria,2012,67282.9197990583,co2
Austria,2011,69909.2578364639,co2
Austria,2010,72017.3226401291,co2
Austria,2009,67315.3295314224,co2
Austria,2008,73495.4662999774,co2
Austria,2007,74117.795661512,co2
Austria,2006,76817.4142757296,co2
Austria,2005,79097.3991919408,co2
Austria,2004,77699.2083472471,co2
Austria,2003,77401.8931825332,co2
Austria,2002,71974.9369149288,co2
Austria,2001,70171.3185565547,co2
Austria,2000,66171.7196152302,co2
Austria,1999,65671.3107393262,co2
Austria,1998,66920.029989044,co2
Austria,1997,67285.1255600476,co2
Austria,1996,67388.5545971183,co2
Austria,1995,64044.058546447,co2
Austria,1994,61066.6430199573,co2
Austria,1993,60692.1276703096,co2
Austria,1992,60266.150188901,co2
Austria,1991,65765.655960561,co2
Austria,1990,62167.1596694411,co2
Belarus,2021,60938.1969138083,co2
Belarus,2020,59055.5509338168,co2
Belarus,2019,62096.3437385716,co2
Belarus,2018,62156.9324464156,co2
Belarus,2017,59381.8526803598,co2
Belarus,2016,58134.4830934153,co2
Belarus,2015,58798.911467351,co2
Belarus,2014,63648.8736883813,co2
Belarus,2013,64125.5561302636,co2
Belarus,2012,62545.2637572874,co2
Belarus,2011,61307.5893688778,co2
Belarus,2010,62445.1204568916,co2
Belarus,2009,60577.7449134509,co2
Belarus,2008,62836.4085610229,co2
Belarus,2007,60218.1413309429,co2
Belarus,2006,61743.5870760037,co2
Belarus,2005,59310.2855938971,co2
Belarus,2004,58253.5306771906,co2
Belarus,2003,55087.9869054627,co2
Belarus,2002,53844.1436374234,co2
Belarus,2001,54002.9815106187,co2
Belarus,2000,54905.9829341753,co2
Belarus,1999,57965.5069650341,co2
Belarus,1998,60073.44750311,co2
Belarus,1997,61588.4148762243,co2
Belarus,1996,61734.7837402238,co2
Belarus,1995,60905.6422613354,co2
Belarus,1994,67879.3995021816,co2
Belarus,1993,80561.8153575714,co2
Belarus,1992,93482.9742442516,co2
Belarus,1991,104071.65587819,co2
Belarus,1990,108345.055090033,co2
Belgium,2021,95668.0807011794,co2
Belgium,2020,91101.3872724279,co2
Belgium,2019,99470.2597331821,co2
Belgium,2018,99967.3236184139,co2
Belgium,2017,99055.0398644849,co2
Belgium,2016,99623.0259569407,co2
Belgium,2015,101145.63283342,co2
Belgium,2014,97029.247325181,co2
Belgium,2013,102714.746945972,co2
Belgium,2012,102404.51930685,co2
Belgium,2011,105068.555094794,co2
Belgium,2010,114604.106143657,co2
Belgium,2009,107765.102958677,co2
Belgium,2008,120170.036097504,co2
Belgium,2007,120463.268569625,co2
Belgium,2006,123872.981774179,co2
Belgium,2005,125627.921624912,co2
Belgium,2004,128770.821069402,co2
Belgium,2003,128248.329801844,co2
Belgium,2002,126863.01354222,co2
Belgium,2001,126066.062366324,co2
Belgium,2000,126721.543753436,co2
Belgium,1999,124681.140235207,co2
Belgium,1998,130223.497181059,co2
Belgium,1997,123990.621369125,co2
Belgium,1996,129478.737653342,co2
Belgium,1995,125936.290917807,co2
Belgium,1994,124796.749390273,co2
Belgium,1993,121423.876031743,co2
Belgium,1992,122488.487966622,co2
Belgium,1991,123362.626314519,co2
Belgium,1990,120292.799243639,co2
Bulgaria,2021,42281.8838574128,co2
Bulgaria,2020,36533.6133958517,co2
Bulgaria,2019,42232.711130619,co2
Bulgaria,2018,43479.638482018,co2
Bulgaria,2017,47430.5911738004,co2
Bulgaria,2016,45336.9455354508,co2
Bulgaria,2015,48121.0154794207,co2
Bulgaria,2014,45161.7896037157,co2
Bulgaria,2013,42586.7302149638,co2
Bulgaria,2012,48289.981585826,co2
Bulgaria,2011,53124.7544449433,co2
Bulgaria,2010,47808.4041272902,co2
Bulgaria,2009,45759.6529059383,co2
Bulgaria,2008,54022.4713639732,co2
Bulgaria,2007,55683.7197361272,co2
Bulgaria,2006,51836.6286464883,co2
Bulgaria,2005,50598.1736277904,co2
Bulgaria,2004,49525.7750796781,co2
Bulgaria,2003,50473.6750855831,co2
Bulgaria,2002,46099.3544566791,co2
Bulgaria,2001,48921.8562128329,co2
Bulgaria,2000,45413.4574210433,co2
Bulgaria,1999,46318.4775021915,co2
Bulgaria,1998,53115.1474505208,co2
Bulgaria,1997,55809.0734723312,co2
Bulgaria,1996,58460.0966099611,co2
Bulgaria,1995,57908.9888891116,co2
Bulgaria,1994,56367.0385893474,co2
Bulgaria,1993,58364.0237968376,co2
Bulgaria,1992,57306.4637842003,co2
Bulgaria,1991,61456.3428917743,co2
Bulgaria,1990,76637.9858255901,co2
Canada,2021,537173.736992154,co2
Canada,2020,522845.295608652,co2
Canada,2019,578587.718185439,co2
Canada,2018,577066.284667036,co2
Canada,2017,566651.892344941,co2
Canada,2016,557689.72717593,co2
Canada,2015,570680.330900277,co2
Canada,2014,566353.017286343,co2
Canada,2013,569539.743327633,co2
Canada,2012,565781.728260776,co2
Canada,2011,565254.013031885,co2
Canada,2010,556062.098525692,co2
Canada,2009,544139.660609924,co2
Canada,2008,576808.657122324,co2
Canada,2007,593755.254368892,co2
Canada,2006,568584.509078599,co2
Canada,2005,574763.646107299,co2
Canada,2004,579689.421648329,co2
Canada,2003,581427.172353753,co2
Canada,2002,564373.835876444,co2
Canada,2001,559147.040280918,co2
Canada,2000,567096.100612269,co2
Canada,1999,544482.078794017,co2
Canada,1998,530276.272725559,co2
Canada,1997,522577.290354208,co2
Canada,1996,508196.663546333,co2
Canada,1995,491825.697390141,co2
Canada,1994,479033.003001451,co2
Canada,1993,464554.170736093,co2
Canada,1992,464012.831694228,co2
Canada,1991,450159.602215421,co2
Canada,1990,458503.095221994,co2
Croatia,2021,17410.6267159848,co2
Croatia,2020,16870.5283712592,co2
Croatia,2019,17857.445503055,co2
Croatia,2018,17724.1517863315,co2
Croatia,2017,18743.9950230909,co2
Croatia,2016,18109.0143970186,co2
Croatia,2015,17824.7043121714,co2
Croatia,2014,17681.5663185347,co2
Croatia,2013,18432.191008391,co2
Croatia,2012,19081.2480668105,co2
Croatia,2011,20650.1764244237,co2
Croatia,2010,21018.1679257394,co2
Croatia,2009,21805.3104942869,co2
Croatia,2008,23594.3917062325,co2
Croatia,2007,24859.7210099989,co2
Croatia,2006,23546.7641742064,co2
Croatia,2005,23340.0325373508,co2
Croatia,2004,22884.8597526106,co2
Croatia,2003,23213.1279582673,co2
Croatia,2002,21887.2991236445,co2
Croatia,2001,20782.2966370768,co2
Croatia,2000,19660.0098865625,co2
Croatia,1999,20022.3707866782,co2
Croatia,1998,19011.1691261022,co2
Croatia,1997,18556.5278978518,co2
Croatia,1996,17343.6771098294,co2
Croatia,1995,16815.7048395566,co2
Croatia,1994,16049.8054258058,co2
Croatia,1993,16806.4615444402,co2
Croatia,1992,16369.2220425646,co2
Croatia,1991,16985.2488597416,co2
Croatia,1990,22974.684267243,co2
Cyprus,2021,7029.35785855711,co2
Cyprus,2020,6910.90840225632,co2
Cyprus,2019,7342.33557177885,co2
Cyprus,2018,7321.71997776382,co2
Cyprus,2017,7503.81197016124,co2
Cyprus,2016,7373.66968766224,co2
Cyprus,2015,6971.57539673562,co2
Cyprus,2014,6950.80015906902,co2
Cyprus,2013,6582.60856022518,co2
Cyprus,2012,7262.76983526846,co2
Cyprus,2011,7787.6363174316,co2
Cyprus,2010,8101.12336494048,co2
Cyprus,2009,8470.1936663591,co2
Cyprus,2008,8715.72869424808,co2
Cyprus,2007,8503.49453723407,co2
Cyprus,2006,8185.0085325109,co2
Cyprus,2005,7957.32153787739,co2
Cyprus,2004,7788.7302524173,co2
Cyprus,2003,7559.64815554257,co2
Cyprus,2002,7169.42593847481,co2
Cyprus,2001,6978.50030024507,co2
Cyprus,2000,7104.59702326204,co2
Cyprus,1999,6858.74592240267,co2
