Country or Area,Year,co2,hfc,methane,total_ghg,Decade,Year_Group,co2_proportion,methane_proportion,hfc_proportion,co2_yoy_change,co2_yoy_abs_change,methane_yoy_change,methane_yoy_abs_change,hfc_yoy_change,hfc_yoy_abs_change,total_ghg_yoy_change,total_ghg_yoy_abs_change,co2_cumulative,methane_cumulative,hfc_cumulative,total_ghg_cumulative,Emission_Category,Region,co2_ma3,co2_ma5,methane_ma3,methane_ma5,hfc_ma3,hfc_ma5,total_ghg_ma3,total_ghg_ma5
Australia,1990,278154.156295787,1424.68352,125133.249408805,425624.307017106,1990,1990s,0.6535203739776261,0.2939993025440059,0.003347279505685613,,,,,,,,,278154.156295787,125133.249408805,1424.68352,425624.307017106,Very High,Asia-Pacific,278154.156295787,278154.156295787,125133.249408805,125133.249408805,1424.68352,1424.68352,425624.307017106,425624.307017106
Australia,1991,279528.510123286,1424.68352,124199.251540457,425686.444956654,1990,1990s,0.6566535379150945,0.2917622889145642,0.0033467908994496407,0.4940978937008955,1374.3538274989696,-0.7464026330017748,-933.9978683480003,0.0,0.0,0.014599245983726306,62.13793954800349,557682.666419073,249332.500949262,2849.36704,851310.75197376,Very High,Asia-Pacific,278841.3332095365,278841.3332095365,124666.250474631,124666.250474631,1424.68352,1424.68352,425655.37598688,425655.37598688
Australia,1992,284525.344620763,1333.184,123239.843554797,429473.084679731,1990,1990s,0.6624986635261224,0.2869559186618181,0.0031042317843833897,1.7875938648523215,4996.834497476986,-0.7724748529160608,-959.4079856600001,-6.422445316135905,-91.49952000000008,0.8895373033225296,3786.639723077009,842208.011039836,372572.344504059,4182.55104,1280783.836653491,Very High,Asia-Pacific,280736.0036799453,280736.0036799453,124190.781501353,124190.781501353,1394.18368,1394.18368,426927.9455511637,426927.9455511637
Australia,1993,288870.536763404,1829.872,120116.183306004,430381.730656997,1990,1990s,0.6711960945052898,0.2790921982739399,0.0042517418134980275,1.527172262433285,4345.192142640997,-2.5346188040267337,-3123.6602487930068,37.255772646536414,496.6880000000001,0.21157227534842615,908.6459772660164,1131078.54780324,492688.527810063,6012.42304,1711165.5673104879,Very High,Asia-Pacific,284308.13050248433,282769.63695081,122518.42613375267,123172.13195251575,1529.2465066666666,1503.10576,428513.75343112735,427791.39182762196
Australia,1994,293696.553098945,1028.12333203718,117269.416880507,430848.497956106,1990,1990s,0.6816701334511006,0.27218248975409953,0.002386275771911646,1.6706502468591067,4826.016335541033,-2.3700107239044366,-2846.7664254970005,-43.8144672393927,-801.74866796282,0.10845425487657767,466.7672991089639,1424775.1009021848,609957.94469057,7040.54637203718,2142014.065266594,Very High,Asia-Pacific,289030.81149437063,284955.02018043696,120208.48124710267,121991.588938114,1397.0597773457266,1408.109274407436,430234.437764278,428402.81305331877
Australia,1995,305002.995518983,1018.65477684092,115838.533863639,439269.877862795,1990,1990s,0.6943407934159556,0.26370698220245575,0.002318972522762179,3.8497021162617884,11306.442420037987,-1.22016724814622,-1430.8830168679997,-0.9209551909981961,-9.468555196260013,1.9546035199470513,8421.37990668905,1729778.096421168,725796.478554209,8059.2011488781,2581283.943129389,Very High,Asia-Pacific,295856.69512711064,290324.78802507615,117741.37801671667,120132.6458290808,1292.2167029593666,1326.90352577562,433500.035491966,431131.9272224566
Australia,1996,311886.128959671,278.039529290483,115157.293442175,445847.225288782,1990,1990s,0.699535875226447,0.25828868480135964,0.0006236206339747715,2.2567428982052773,6883.13344068802,-0.5880948236671624,-681.2404214639973,-72.70522500736247,-740.6152475504371,1.4973363204388468,6577.3474259869545,2041664.2253808388,840953.771996384,8337.240678168584,3027131.168418171,Very High,Asia-Pacific,303528.559192533,296796.31179235317,116088.41472877366,118324.2542094244,774.939212722861,1097.5747276337165,438655.2003692277,435164.0832888822
Australia,1997,320282.629502979,464.72504957274,118004.542337205,457864.510418591,1990,1990s,0.6995139876863764,0.25772808254853025,0.001014983775763439,2.6921686358144292,8396.500543307979,2.472486813403374,2847.248895030003,67.1435175993326,186.68552028225696,2.6953818366874938,12017.285129808995,2361946.854883818,958958.3143335889,8801.965727741323,3484995.678836762,Very High,Asia-Pacific,312390.58466054435,303947.7687687964,116333.45654767299,117277.193965906,587.1397852347144,923.8829375482646,447660.53785672266,440842.3684366542
Australia,1998,334075.978110115,660.920603864741,117834.999257818,472145.831804056,1990,1990s,0.7075694745278593,0.24957331256653004,0.0013998230193823418,4.306617760863518,13793.348607135995,-0.14367504506946904,-169.54307938700367,42.21755519147929,196.19555429200102,3.1191151662767425,14281.321385465038,2696022.832993933,1076793.313591407,9462.886331606063,3957141.5106408177,Very High,Asia-Pacific,322081.57885758835,312988.8570381386,116998.94501239933,116820.95715626879,467.89506090932133,690.0926583212129,458619.18917047634,449195.188666066
Australia,1999,343488.632899242,985.274631867224,114164.527759236,478136.874727016,1990,1990s,0.7183897562708396,0.2387695528072715,0.002060653933938372,2.817519189010498,9412.654789127002,-3.114924701235111,-3670.4714985819883,49.07609569225395,324.354028002483,1.2688967093214432,5991.042922960012,3039511.465893175,1190957.841350643,10448.160963473289,4435278.385367834,Very High,Asia-Pacific,332615.7468374453,322947.27299819805,116668.02311808633,116199.9793320146,703.6400951015684,681.5229182872216,469382.40564988763,458652.86402024806
