Country or Area,Year,co2,hfc,methane,total_ghg,Decade,Year_Group,co2_proportion,methane_proportion,hfc_proportion,co2_yoy_change,co2_yoy_abs_change,methane_yoy_change,methane_yoy_abs_change,hfc_yoy_change,hfc_yoy_abs_change,total_ghg_yoy_change,total_ghg_yoy_abs_change,co2_cumulative,methane_cumulative,hfc_cumulative,total_ghg_cumulative,Emission_Category,Region,co2_ma3,co2_ma5,methane_ma3,methane_ma5,hfc_ma3,hfc_ma5,total_ghg_ma3,total_ghg_ma5
Austria,2021,66018.6319228833,1485.82333363034,6499.26459036207,77532.3511799922,2020,2020s,0.8514978704775807,0.08382648651108175,0.019163914301798805,6.273828077638899,3897.3805131260015,-0.05596587505590778,-3.6394071262402576,-12.853168407474724,-219.14207529886016,4.899833867358883,3621.508501224598,2182559.5561253605,275355.8128257281,33962.532234957725,2625905.545533769,High,Other,65365.346986222336,66455.3200549638,6536.907837408756,6672.398376544696,1664.1200422211034,1766.1005528973042,77145.777166274,78484.8397359183
Belarus,2021,60938.1969138083,208.962636965765,17875.9385994639,91988.2016909786,2020,2020s,0.6624566606761331,0.19432860161258067,0.002271624329256327,3.187923828026551,1882.6459799915028,1.119174994052785,197.84876089940008,3.9701551881915487,7.9793484561620005,2.2769827878618365,2047.924628077497,2072024.1632337836,533525.428390273,2206.82466570697,3004030.970298297,High,Other,60696.697195398905,60725.775342594425,17695.221617546766,17569.05744774972,200.31984820661197,193.42769329648598,91406.7039110422,91134.02281103042
Belgium,2021,95668.0807011794,2397.30367250546,7870.0988320078,110951.731346546,2020,2020s,0.8622495524866598,0.07093263653026179,0.02160672612685723,5.012759482021201,4566.693428751489,-1.2733789689493347,-101.50877475163998,-22.96475075489094,-714.6531212965201,3.429650656881722,3679.0772846870095,3689095.832657962,326227.8554391026,66602.91566589213,4353055.049010148,Very High,Other,95413.2425689298,97052.41823793764,7979.215978045548,8076.407528500439,3070.4032222615333,3498.033323354284,111562.69867752533,113836.44963678939
Bulgaria,2021,42281.8838574128,739.422816164572,6560.59971145466,53917.2650841,2020,2020s,0.7841993430390365,0.12167901508397087,0.01371402675954024,15.734196339346497,5748.2704615611,2.400052209964154,153.7673223435595,-6.374498743704937,-50.343653699700894,12.363649681832367,5932.649742064103,1622466.4623793121,276087.7398221938,10086.956846640545,2037687.9989020645,High,Other,40349.40279462784,42391.68760794038,6498.195396794141,6684.388757693991,776.9477079934417,752.1738572286472,51947.99893830473,54184.33562931032
Canada,2021,537173.736992154,11433.4129129798,90509.759899685,670428.304537872,2020,2020s,0.8012396453971754,0.13500289186339412,0.017053893511940674,2.7404743819722244,14328.441383502039,-0.9521355702800771,-870.0597671052965,-4.072867611617237,-485.43906175560005,1.7668670422656074,11639.914934179978,17357091.590044953,3351759.4292147714,184229.4904481842,22079094.189820535,Very High,North America,546202.2502620817,556464.9855596444,94419.0896611841,98237.84660910146,11821.112860791269,11742.85318649404,684298.661522727,697949.1131434916
Croatia,2021,17410.6267159848,1699.28404317094,3887.15610467487,24446.4182317312,2020,2020s,0.7121954042897779,0.15900718329482647,0.06951055271423308,3.201431116085951,540.0983447256003,-2.86794469474444,-114.77311679455988,7.916287954141321,124.65237691770017,2.2570983163811453,539.6003831603994,627912.5010328613,131663.32700931505,15092.015607311647,839674.5724506858,High,Other,17379.533530099667,17721.34947994428,3979.52765062775,4063.0068706812863,1581.3821130118001,1465.839983578382,24384.207030750567,24692.5830000634
Cyprus,2021,7029.35785855711,353.487646622074,1097.40095763803,8670.01523813342,2020,2020s,0.81076649411639,0.1265742824546974,0.040771283199979344,1.7139491569895249,118.44945630079019,3.0585353923265446,32.56828418656983,5.303724588546954,17.803749396923024,1.9659016019364595,167.15781038252862,224418.82538393966,30307.12442037124,4683.174672652116,265302.66083648807,Medium,Other,7094.200610864093,7221.626756103467,1065.4289985077867,1041.719321400767,340.4789726456664,323.4802087454338,8688.163806146229,8770.35090633209
Czechia,2021,96665.2253266532,3711.39709469883,13223.9900175251,118381.690605425,2020,2020s,0.8165555402384446,0.11170637916974548,0.031351107385931776,5.417671468951402,4967.861896344504,0.9608702502010846,125.85607241010075,-0.6129953835683266,-22.89101371370998,4.695800814403683,5309.638350642999,3894499.840582287,560768.9861410516,56013.9272944453,4680119.098795108,Very High,Other,96465.09169124764,100706.04623706957,13373.663891357466,13711.996557160921,3756.375570595427,3760.9046626646145,118301.66780754733,123007.39883452919
Denmark,2021,31306.3495818155,356.185833248185,8644.69913581677,45515.579085262,2020,2020s,0.6878161326514362,0.18992835661001037,0.007825580612320903,4.473191706237589,1340.432899721498,0.3676136093834881,31.662694140761232,-9.147041728856376,-35.86065596483098,2.3194488984572326,1031.7790108185945,1656882.8377238733,294524.2418800097,17795.05319214183,2164513.1977938036,High,Other,31289.338243459002,33245.489223032535,8576.523632795617,8594.801389051194,380.60566497859463,432.1915219648098,45647.016726450405,47688.19715603466
Estonia,2021,10419.9178953988,190.208121554073,1152.94077636597,12615.1715098191,2020,2020s,0.8259830543951296,0.09139319076784418,0.01507772775075022,12.783327715866744,1181.0364876347594,0.7362779724650714,8.426804268339993,5.719128852069466,10.289762767530988,10.59068589076917,1208.0883470659992,586797.6048242125,43299.95420057159,3906.5809977080453,656969.7704408774,High,Other,10660.927419080946,13721.200188090346,1151.2290385446768,1148.688324964706,196.599560287071,208.31657494977821,12853.368773318167,15897.26483521336
